"subnet","asn","n","pct_of_subnet"
"136.144.33.0/24","AS206092",132,0.52
"31.171.130.0/24","AS206092",96,0.38
"104.234.32.0/24","AS206092",63,0.25
"23.234.102.104/29","AS11878",2,0.25
"23.234.115.160/29","AS11878",2,0.25
"23.234.77.232/29","AS11878",2,0.25
"23.234.78.32/29","AS11878",2,0.25
"23.234.82.64/29","AS11878",2,0.25
"23.234.90.64/29","AS11878",2,0.25
"23.234.95.64/29","AS11878",2,0.25
"85.237.194.0/24","AS206092",48,0.19
"23.234.69.160/28","AS11878",3,0.19
"23.234.90.32/28","AS11878",3,0.19
"181.215.65.0/24","AS212238",45,0.18
"193.36.225.0/24","AS206092",42,0.16
"104.167.19.0/24","AS200373",38,0.15
"23.234.118.160/27","AS11878",4,0.12
"23.234.68.96/27","AS11878",4,0.12
"23.234.78.96/27","AS11878",4,0.12
"23.234.102.32/28","AS11878",2,0.12
"23.234.108.32/28","AS11878",2,0.12
"23.234.112.96/28","AS11878",2,0.12
"23.234.114.224/28","AS11878",2,0.12
"23.234.115.176/28","AS11878",2,0.12
"23.234.117.160/28","AS11878",2,0.12
"23.234.71.64/28","AS11878",2,0.12
"23.234.71.96/28","AS11878",2,0.12
"23.234.79.32/28","AS11878",2,0.12
"23.234.81.32/28","AS11878",2,0.12
"129.232.130.128/29","AS37153",1,0.12
"23.234.100.104/29","AS11878",1,0.12
"23.234.100.120/29","AS11878",1,0.12
"23.234.100.192/29","AS11878",1,0.12
"23.234.101.200/29","AS11878",1,0.12
"23.234.101.208/29","AS11878",1,0.12
"23.234.103.160/29","AS11878",1,0.12
"23.234.103.24/29","AS11878",1,0.12
"23.234.103.248/29","AS11878",1,0.12
"23.234.103.48/29","AS11878",1,0.12
"23.234.108.208/29","AS11878",1,0.12
"23.234.109.112/29","AS11878",1,0.12
"23.234.111.64/29","AS11878",1,0.12
"23.234.111.72/29","AS11878",1,0.12
"23.234.111.80/29","AS11878",1,0.12
"23.234.112.72/29","AS11878",1,0.12
"23.234.115.168/29","AS11878",1,0.12
"23.234.115.192/29","AS11878",1,0.12
"23.234.116.152/29","AS11878",1,0.12
"23.234.116.24/29","AS11878",1,0.12
"23.234.116.32/29","AS11878",1,0.12
"23.234.116.40/29","AS11878",1,0.12
"23.234.116.48/29","AS11878",1,0.12
"23.234.117.104/29","AS11878",1,0.12
"23.234.117.200/29","AS11878",1,0.12
"23.234.117.248/29","AS11878",1,0.12
"23.234.117.64/29","AS11878",1,0.12
"23.234.68.168/29","AS11878",1,0.12
"23.234.70.112/29","AS11878",1,0.12
"23.234.70.176/29","AS11878",1,0.12
"23.234.70.24/29","AS11878",1,0.12
"23.234.70.32/29","AS11878",1,0.12
"23.234.70.80/29","AS11878",1,0.12
"23.234.71.112/29","AS11878",1,0.12
"23.234.71.120/29","AS11878",1,0.12
"23.234.71.192/29","AS11878",1,0.12
"23.234.71.200/29","AS11878",1,0.12
"23.234.71.32/29","AS11878",1,0.12
"23.234.71.40/29","AS11878",1,0.12
"23.234.76.104/29","AS11878",1,0.12
"23.234.76.192/29","AS11878",1,0.12
"23.234.76.64/29","AS11878",1,0.12
"23.234.77.160/29","AS11878",1,0.12
"23.234.77.248/29","AS11878",1,0.12
"23.234.77.40/29","AS11878",1,0.12
"23.234.78.168/29","AS11878",1,0.12
"23.234.78.232/29","AS11878",1,0.12
"23.234.78.248/29","AS11878",1,0.12
"23.234.78.80/29","AS11878",1,0.12
"23.234.79.120/29","AS11878",1,0.12
"23.234.82.32/29","AS11878",1,0.12
"23.234.82.40/29","AS11878",1,0.12
"23.234.89.40/29","AS11878",1,0.12
"23.234.89.64/29","AS11878",1,0.12
"23.234.91.112/29","AS11878",1,0.12
"23.234.91.120/29","AS11878",1,0.12
"23.234.91.24/29","AS11878",1,0.12
"23.234.95.192/29","AS11878",1,0.12
"23.234.95.200/29","AS11878",1,0.12
"23.234.95.40/29","AS11878",1,0.12
"23.234.95.48/29","AS11878",1,0.12
"104.167.25.0/24","AS200373",28,0.11
"155.2.190.0/24","AS13213",28,0.11
"155.2.191.0/24","AS136557",27,0.11
