indicator_type,indicator_value,first_seen,last_seen,confidence,threat_type,target_vendor,target_product,description,tags,campaign_id
ASN,AS43350,2025-09-20,2025-10-15,high,credential_attack,Palo Alto Networks,GlobalProtect,"NForce Entertainment B.V. - Source ASN for September-October GlobalProtect credential attacks",bruteforce;authentication;vpn,GNOISE-2025-GLOBALPROTECT-001
ASN,AS215929,2025-09-20,2025-10-15,high,credential_attack,Palo Alto Networks,GlobalProtect,"Data Campus Limited - Source ASN for September-October GlobalProtect credential attacks",bruteforce;authentication;vpn,GNOISE-2025-GLOBALPROTECT-001
ASN,AS209588,2025-09-20,2025-10-15,high,credential_attack,Palo Alto Networks,GlobalProtect,"Flyservers S.A. - Source ASN for September-October GlobalProtect credential attacks",bruteforce;authentication;vpn,GNOISE-2025-GLOBALPROTECT-001
ASN,AS211632,2025-09-20,2025-10-15,high,credential_attack,Palo Alto Networks,GlobalProtect,"Internet Solutions & Innovations LTD - Source ASN for September-October GlobalProtect credential attacks",bruteforce;authentication;vpn,GNOISE-2025-GLOBALPROTECT-001
ASN,AS201011,2025-12-02,2025-12-03,high,credential_attack,Palo Alto Networks;SonicWall,GlobalProtect;SonicOS,"3xK GmbH - Source ASN for December GlobalProtect and SonicWall attacks using same fingerprints",bruteforce;authentication;vpn;api,GNOISE-2025-GLOBALPROTECT-001
ACTIVITY_PATTERN,credential_bruteforce,2025-09-20,2025-12-03,high,credential_attack,Palo Alto Networks;SonicWall,GlobalProtect;SonicOS,"Multi-month credential attack campaign with 9M+ HTTP sessions against VPN/auth surfaces",bruteforce;authentication;multi-stage,GNOISE-2025-GLOBALPROTECT-001
FINGERPRINT_SET,shared_client_fingerprints,2025-09-20,2025-12-03,high,credential_attack,Palo Alto Networks;SonicWall,GlobalProtect;SonicOS,"Three identical client fingerprints shared across all attack phases indicating tooling continuity",fingerprinting;tooling;ttp,GNOISE-2025-GLOBALPROTECT-001
EVENT,spike_2025-12-02,2025-12-02,2025-12-02,high,credential_attack,Palo Alto Networks,GlobalProtect,"7000+ IPs from AS201011 targeting GlobalProtect portals in concentrated spike",bruteforce;authentication;spike,GNOISE-2025-GLOBALPROTECT-001
EVENT,spike_2025-12-03,2025-12-03,2025-12-03,high,credential_attack,SonicWall,SonicOS API,"SonicWall SonicOS API scanning surge using same three client fingerprints",bruteforce;api;authentication,GNOISE-2025-GLOBALPROTECT-001
GNQL_QUERY,classification:suspicious tags:Palo Alto Networks GlobalProtect,2025-09-20,2025-12-03,high,credential_attack,Palo Alto Networks,GlobalProtect,GreyNoise GNQL query to identify related IPs for blocking,detection;blocking,GNOISE-2025-GLOBALPROTECT-001
GNQL_QUERY,classification:suspicious tags:SonicWall,2025-12-03,2025-12-03,high,credential_attack,SonicWall,SonicOS API,GreyNoise GNQL query to identify related SonicWall targeting IPs,detection;blocking,GNOISE-2025-GLOBALPROTECT-001
