ja4t,ja4h,n
65495_2-4-8-1-3_65495_7,po11nn090000_3343762cd6d7_…,14
64240_2-4-8-1-3_1460_7,po11nn100000_2bce9f31eeb7_…,6
65495_2-4-8-1-3_65495_7,po11nn100000_2bce9f31eeb7_…,6
64240_2-4-8-1-3_1460_7,po11nn090000_3343762cd6d7_…,5
64240_2-4-8-1-3_1460_10,po11nn080000_45008c2bf3a3_…,4
42340_2-4-8-1-3_1460_10,po11nn090000_3343762cd6d7_…,3
29200_2-4-8-1-3_1460_7,po11nn090000_3343762cd6d7_…,2
65495_2-4-8-1-3_65495_7,po11nn050000_471b4002fcdc_…,2
65495_2-4-8-1-3_65495_7,po11nn070000_bc9e8c269684_…,2
65535_2-1-3-1-1-8-4-0_1240_6,po11nn080000_4cf247817384_…,2
29200_2-4-8-1-3_1424_7,po11nn090000_3343762cd6d7_…,1
29200_2-4-8-1-3_1460_7,po11nn100000_2bce9f31eeb7_…,1
32120_2-4-8-1-3_1460_11,po11nn070000_bc9e8c269684_…,1
32120_2-4-8-1-3_1460_7,po11nn100000_2bce9f31eeb7_…,1
32767_2-4-8-1-3_1460_14,po11nn090000_aa29d62279db_…,1
33280_2-4-8-1-3_65495_7,po11nn060000_3865ae1cc1d9_…,1
33280_2-4-8-1-3_65495_7,po11nn090000_7316678588ea_…,1
33280_2-4-8-1-3_65495_7,po11nn090000_eb13bff1ce59_…,1
42340_2-1-1-4-1-3_1460_9,po11nn090000_d3765b320a41_…,1
42340_2-4-8-1-3_1460_11,po11nn060000_3865ae1cc1d9_…,1
42340_2-4-8-1-3_1460_11,po11nn10enus_38148d6b7d75_…,1
42340_2-4-8-1-3_1460_9,po11nn090000_cd755d3fbe2e_…,1
48180_2-4-8-1-3_1460_10,po11nn090000_3343762cd6d7_…,1
64240_2-1-3-1-1-4_1300_8,po11nn100000_2bce9f31eeb7_…,1
64240_2-1-3-1-1-4_1320_8,po11nn060000_d962ce1a3920_…,1
64240_2-1-3-1-1-4_1360_8,po11nn090000_3343762cd6d7_…,1
64240_2-1-3-1-1-4_1370_8,po11nn060000_96d13948a966_…,1
64240_2-1-3-1-1-4_1400_8,po10nn090000_75eeec6218a0_…,1
64240_2-1-3-1-1-4_1400_8,po11nn080000_9248c188ea81_…,1
64240_2-1-3-1-1-4_1400_8,po11nn090000_75eeec6218a0_…,1
64240_2-1-3-1-1-4_1452_8,po11nn060000_d962ce1a3920_…,1
64240_2-1-3-1-1-4_1452_8,po11nn090000_3343762cd6d7_…,1
64240_2-1-3-1-1-4_1460_8,po11nn060000_d962ce1a3920_…,1
64240_2-1-3-4-1-1-1-1-1-1-1-1-1-1_1360_8,po11nn090000_3343762cd6d7_…,1
64240_2-1-3-4-1-1-1-1-1-1-1-1-1-1_1360_8,po11nn100000_59bb03dc794a_…,1
64240_2-1-3-4-8_1360_8,po11nn100000_59bb03dc794a_…,1
64240_2-4-8-1-3_1300_7,po11nn090000_eb13bff1ce59_…,1
64240_2-4-8-1-3_1320_7,po11nn090000_3343762cd6d7_…,1
