host,uri,path
###.###.###.###,###.###.###.###/realms/master/protocol/openid-connect/auth?client_id=account-console&redirect_uri=https://[::]:80@oast.me,/realms/master/protocol/openid-connect/auth
###.###.###.###,###.###.###.###/realms/master/protocol/openid-connect/auth?client_id=account-console&redirect_uri=https://[::]:80@oast.me,/realms/master/protocol/openid-connect/auth
###.###.###.###,###.###.###.###/realms/master/protocol/openid-connect/auth?client_id=account-console&redirect_uri=http://[::]:80@oast.me,/realms/master/protocol/openid-connect/auth
###.###.###.###,###.###.###.###/realms/master/protocol/openid-connect/auth?client_id=account-console&redirect_uri=https://###.###.###.###:80@oast.me,/realms/master/protocol/openid-connect/auth
###.###.###.###,###.###.###.###/realms/master/protocol/openid-connect/auth?client_id=account-console&redirect_uri=https://localhost:80@oast.me,/realms/master/protocol/openid-connect/auth
###.###.###.###,###.###.###.###/realms/master/protocol/openid-connect/auth?client_id=account-console&redirect_uri=https://###.###.###.###:80@oast.me,/realms/master/protocol/openid-connect/auth
###.###.###.###,###.###.###.###/realms/master/protocol/openid-connect/auth?client_id=account-console&redirect_uri=http://###.###.###.###:80@oast.me,/realms/master/protocol/openid-connect/auth
###.###.###.###,###.###.###.###/realms/master/protocol/openid-connect/auth?client_id=account-console&redirect_uri=https://localhost:80@oast.me,/realms/master/protocol/openid-connect/auth
###.###.###.###,###.###.###.###/realms/master/protocol/openid-connect/auth?client_id=account-console&redirect_uri=http://###.###.###.###:80@oast.me,/realms/master/protocol/openid-connect/auth
###.###.###.###,###.###.###.###/realms/master/protocol/openid-connect/auth?client_id=account-console&redirect_uri=http://localhost:80@oast.me,/realms/master/protocol/openid-connect/auth
###.###.###.###,###.###.###.###/realms/master/protocol/openid-connect/auth?client_id=account&redirect_uri=https://[::]:80@oast.me,/realms/master/protocol/openid-connect/auth
###.###.###.###,###.###.###.###/realms/master/protocol/openid-connect/auth?client_id=account&redirect_uri=https://[::]:80@oast.me,/realms/master/protocol/openid-connect/auth
###.###.###.###,###.###.###.###/realms/master/protocol/openid-connect/auth?client_id=account&redirect_uri=http://[::]:80@oast.me,/realms/master/protocol/openid-connect/auth
