plugin,first_seen,last_seen,days_observed,total_records,unique_ips,lifespan_days,activity_ratio,gap_days
astra-widgets,2025-10-22,2026-01-17,16,24,13,88,0.182,72
backuply,2025-10-22,2026-01-17,16,24,13,88,0.182,72
all-404-redirect-to-homepage,2025-10-22,2026-01-17,17,25,14,88,0.193,71
black-studio-tinymce-widget,2025-10-22,2026-01-17,17,25,14,88,0.193,71
breeze,2025-10-22,2026-01-17,17,25,14,88,0.193,71
burst-statistics,2025-10-22,2026-01-17,17,25,14,88,0.193,71
chaty,2025-10-22,2026-01-17,17,25,14,88,0.193,71
child-theme-configurator,2025-10-22,2026-01-17,17,25,14,88,0.193,71
classic-widgets,2025-10-22,2026-01-17,17,25,14,88,0.193,71
click-to-chat-for-whatsapp,2025-10-22,2026-01-17,17,25,14,88,0.193,71
flexmls-idx,2025-10-22,2026-01-17,17,25,14,88,0.193,71
force-regenerate-thumbnails,2025-10-22,2026-01-17,17,25,14,88,0.193,71
ad-inserter,2025-10-22,2026-01-17,18,25,15,88,0.205,70
add-to-any,2025-10-22,2026-01-17,18,26,15,88,0.205,70
admin-menu-editor,2025-10-22,2026-01-17,18,24,15,88,0.205,70
aryo-activity-log,2025-10-22,2026-01-17,18,26,15,88,0.205,70
breadcrumb-navxt,2025-10-22,2026-01-17,18,26,15,88,0.205,70
classic-editor,2025-10-22,2026-01-17,18,26,15,88,0.205,70
cmb2,2025-10-22,2026-01-17,18,26,15,88,0.205,70
contact-form-7-honeypot,2025-10-22,2026-01-17,18,26,15,88,0.205,70
contact-form-cfdb7,2025-10-22,2026-01-17,18,26,15,88,0.205,70
cookie-notice,2025-10-22,2026-01-17,18,26,15,88,0.205,70
copy-delete-posts,2025-10-22,2026-01-17,18,26,15,88,0.205,70
creame-whatsapp-me,2025-10-22,2026-01-17,18,26,15,88,0.205,70
creative-mail-by-constant-contact,2025-10-22,2026-01-17,18,26,15,88,0.205,70
custom-css-js,2025-10-22,2026-01-17,18,25,15,88,0.205,70
custom-fonts,2025-10-22,2026-01-17,18,26,15,88,0.205,70
custom-post-type-ui,2025-10-22,2026-01-17,18,26,15,88,0.205,70
disable-gutenberg,2025-10-22,2026-01-17,18,26,15,88,0.205,70
duracelltomi-google-tag-manager,2025-10-22,2026-01-17,18,26,15,88,0.205,70
easy-fancybox,2025-10-22,2026-01-17,18,26,15,88,0.205,70
easy-google-fonts,2025-10-22,2026-01-17,18,26,15,88,0.205,70
easy-table-of-contents,2025-10-22,2026-01-17,18,26,15,88,0.205,70
elementskit-lite,2025-10-22,2026-01-17,18,26,15,88,0.205,70
enable-media-replace,2025-10-22,2026-01-17,18,26,15,88,0.205,70
extendify,2025-10-22,2026-01-17,18,26,15,88,0.205,70
facebook-for-woocommerce,2025-10-22,2026-01-17,18,26,15,88,0.205,70
fast-indexing-api,2025-10-22,2026-01-17,18,26,15,88,0.205,70
favicon-by-realfavicongenerator,2025-10-22,2026-01-17,18,26,15,88,0.205,70
flamingo,2025-10-22,2026-01-17,18,26,15,88,0.205,70
gdpr-cookie-compliance,2025-10-22,2026-01-17,18,26,15,88,0.205,70
google-analytics-dashboard-for-wp,2025-10-22,2026-01-17,18,26,15,88,0.205,70
google-listings-and-ads,2025-10-22,2026-01-17,18,26,15,88,0.205,70
health-check,2025-10-22,2026-01-17,18,38,14,88,0.205,70
hello-dolly,2025-10-22,2026-01-17,18,38,14,88,0.205,70
host-webfonts-local,2025-10-22,2026-01-17,18,39,14,88,0.205,70
imsanity,2025-10-22,2026-01-17,18,42,14,88,0.205,70
inpost-for-woocommerce,2025-10-22,2026-01-17,18,42,14,88,0.205,70
yith-woocommerce-compare,2025-10-22,2026-01-17,18,40,14,88,0.205,70
amp,2025-10-22,2026-01-17,19,27,16,88,0.216,69
antispam-bee,2025-10-22,2026-01-17,19,27,16,88,0.216,69
broken-link-checker,2025-10-22,2026-01-17,19,27,16,88,0.216,69
google-sitemap-generator,2025-10-22,2026-01-17,19,28,15,88,0.216,69
gtranslate,2025-10-22,2026-01-17,19,30,15,88,0.216,69
gutenberg,2025-10-22,2026-01-17,19,37,15,88,0.216,69
happy-elementor-addons,2025-10-22,2026-01-17,19,36,15,88,0.216,69
header-and-footer-scripts,2025-10-22,2026-01-17,19,37,15,88,0.216,69
header-footer,2025-10-22,2026-01-17,19,38,15,88,0.216,69
header-footer-code-manager,2025-10-22,2026-01-17,19,38,15,88,0.216,69
hunk-companion,2025-10-22,2026-01-17,19,43,15,88,0.216,69
image-optimization,2025-10-22,2026-01-17,19,43,15,88,0.216,69
imagify,2025-10-22,2026-01-17,19,43,15,88,0.216,69
instagram-feed,2025-10-22,2026-01-17,19,43,15,88,0.216,69
intuitive-custom-post-order,2025-10-22,2026-01-17,19,43,15,88,0.216,69
kirki,2025-10-22,2026-01-17,19,42,15,88,0.216,69
leadin,2025-10-22,2026-01-17,19,43,15,88,0.216,69
limit-login-attempts,2025-10-22,2026-01-17,19,42,15,88,0.216,69
loco-translate,2025-10-22,2026-01-17,19,43,15,88,0.216,69
loginpress,2025-10-22,2026-01-17,19,42,15,88,0.216,69
mailchimp-for-woocommerce,2025-10-22,2026-01-17,19,43,15,88,0.216,69
ocean-extra,2025-10-22,2026-01-17,19,41,15,88,0.216,69
post-types-order,2025-10-22,2026-01-17,19,43,15,88,0.216,69
shortcodes-ultimate,2025-10-22,2026-01-17,19,43,15,88,0.216,69
shortpixel-image-optimiser,2025-10-22,2026-01-17,19,43,15,88,0.216,69
siteorigin-panels,2025-10-22,2026-01-17,19,42,15,88,0.216,69
ssl-insecure-content-fixer,2025-10-22,2026-01-17,19,42,15,88,0.216,69
table-of-contents-plus,2025-10-22,2026-01-17,19,42,15,88,0.216,69
unyson,2025-10-22,2026-01-17,19,42,15,88,0.216,69
use-any-font,2025-10-22,2026-01-17,19,42,15,88,0.216,69
widget-importer-exporter,2025-10-22,2026-01-17,19,42,15,88,0.216,69
woocommerce-gateway-stripe,2025-10-22,2026-01-17,19,42,15,88,0.216,69
woocommerce-paypal-payments,2025-10-22,2026-01-17,19,42,15,88,0.216,69
woosidebars,2025-10-22,2026-01-17,19,42,15,88,0.216,69
wp-migrate-db,2025-10-22,2026-01-17,19,42,15,88,0.216,69
wp-sitemap-page,2025-10-22,2026-01-17,19,42,15,88,0.216,69
backwpup,2025-10-22,2026-01-17,20,30,19,88,0.227,68
cloudflare,2025-10-22,2026-01-17,20,28,17,88,0.227,68
coblocks,2025-10-22,2026-01-17,20,28,17,88,0.227,68
font-awesome,2025-10-22,2026-01-17,20,28,17,88,0.227,68
photo-gallery,2025-10-22,2026-01-17,20,43,16,88,0.227,68
php-compatibility-checker,2025-10-22,2026-01-17,20,42,16,88,0.227,68
polylang,2025-10-22,2026-01-17,20,43,16,88,0.227,68
popup-builder,2025-10-22,2026-01-17,20,43,16,88,0.227,68
premium-addons-for-elementor,2025-10-22,2026-01-17,20,43,16,88,0.227,68
pretty-link,2025-10-22,2026-01-17,20,44,16,88,0.227,68
simple-custom-post-order,2025-10-22,2026-01-17,20,44,16,88,0.227,68
simple-history,2025-10-22,2026-01-17,20,43,16,88,0.227,68
simple-page-ordering,2025-10-22,2026-01-17,20,43,16,88,0.227,68
speedycache,2025-10-22,2026-01-17,20,43,16,88,0.227,68
tablepress,2025-10-22,2026-01-17,20,44,16,88,0.227,68
themeisle-companion,2025-10-22,2026-01-17,20,44,16,88,0.227,68
velvet-blues-update-urls,2025-10-22,2026-01-17,20,43,16,88,0.227,68
woo-inpost,2025-10-22,2026-01-17,20,43,16,88,0.227,68
woocommerce-gateway-paypal-express-checkout,2025-10-22,2026-01-17,20,43,16,88,0.227,68
woocommerce-legacy-rest-api,2025-10-22,2026-01-17,20,43,16,88,0.227,68
