plugin,days_observed,unique_ips,total_records,category
post-smtp,92,190,9865,Strategic Targets
loginizer,77,136,319,Strategic Targets
wp-stats-manager,76,134,234,Strategic Targets
elementor,75,107,241,Strategic Targets
litespeed-cache,74,135,314,Strategic Targets
duplicator,71,115,217,Strategic Targets
seo-by-rank-math,71,135,344,Strategic Targets
better-search-replace,68,111,225,Strategic Targets
wp-fastest-cache,68,99,248,Strategic Targets
wp-statistics,67,97,320,Strategic Targets
wordfence,65,78,151,Strategic Targets
wps-hide-login,65,87,183,Strategic Targets
cryptocurrency-widgets-pack,64,69,220,Strategic Targets
wordpress-database-reset,64,98,156,Strategic Targets
wp-file-manager,64,83,138,Strategic Targets
essential-addons-for-elementor-lite,63,79,145,Strategic Targets
all-in-one-wp-migration,62,95,171,Strategic Targets
woocommerce,62,82,124,Strategic Targets
2-click-socialmedia-buttons,61,101,234,Strategic Targets
really-simple-ssl,61,74,121,Strategic Targets
w3-total-cache,61,88,130,Strategic Targets
wordpress-seo,61,82,123,Strategic Targets
contact-form-7,60,66,97,Strategic Targets
optinmonster,60,73,114,Strategic Targets
redux-framework,60,71,112,Strategic Targets
updraftplus,60,73,116,Strategic Targets
wp-optimize,60,67,113,Strategic Targets
iwp-client,59,72,112,Strategic Targets
jetpack,59,66,113,Strategic Targets
ultimate-addons-for-gutenberg,59,69,111,Strategic Targets
wp-super-cache,59,70,114,Strategic Targets
wpforms-lite,59,69,111,Strategic Targets
akismet,58,76,103,Strategic Targets
all-in-one-wp-security-and-firewall,58,71,96,Strategic Targets
limit-login-attempts-reloaded,58,71,109,Strategic Targets
redirection,58,67,110,Strategic Targets
svg-support,58,65,110,Strategic Targets
google-site-kit,57,68,93,Strategic Targets
hostinger,57,68,107,Strategic Targets
import-xml-feed,57,80,224,Strategic Targets
insert-headers-and-footers,57,70,109,Strategic Targets
sg-security,57,70,110,Strategic Targets
smart-slider-3,57,65,110,Strategic Targets
wp-user-avatar,57,66,109,Strategic Targets
advanced-custom-fields,56,73,93,Strategic Targets
all-in-one-seo-pack,56,65,92,Strategic Targets
autoptimize,56,71,94,Strategic Targets
coming-soon,56,67,92,Strategic Targets
disable-comments,56,69,93,Strategic Targets
duplicate-page,56,67,92,Strategic Targets
envato-elements,56,67,93,Strategic Targets
ewww-image-optimizer,56,64,93,Strategic Targets
header-footer-elementor,56,66,104,Strategic Targets
mailchimp-for-wp,56,66,109,Strategic Targets
astra-sites,55,65,93,Strategic Targets
code-snippets,55,65,93,Strategic Targets
complianz-gdpr,55,70,92,Strategic Targets
duplicate-post,55,67,90,Strategic Targets
google-analytics-for-wordpress,55,65,90,Strategic Targets
advanced-text-widget,54,65,298,Strategic Targets
better-wp-security,54,65,91,Strategic Targets
jeg-elementor-kit,54,57,216,Strategic Targets
cleantalk-spam-protect,53,73,212,Strategic Targets
infusionsoft,52,60,131,Strategic Targets
pie-register,52,80,227,Strategic Targets
adminimize,51,65,160,Strategic Targets
media-library-assistant,50,67,204,Strategic Targets
total-donations,50,70,214,Strategic Targets
wc-multivendor-marketplace,50,68,191,Strategic Targets
wp-time-capsule,50,63,85,Strategic Targets
flash-album-gallery,48,56,135,Strategic Targets
masterstudy-lms-learning-management-system,48,62,75,Strategic Targets
skysa-official,48,57,132,Strategic Targets
backup-backup,47,57,178,Strategic Targets
fancy-product-designer,47,53,68,Strategic Targets
my-calendar,47,69,190,Strategic Targets
sniplets,47,56,132,Strategic Targets
uploader,47,56,125,Strategic Targets
easy-digital-downloads,46,64,198,Strategic Targets
visualizer,46,60,182,Strategic Targets
wp-facethumb,46,54,124,Strategic Targets
bbpress,45,51,66,Strategic Targets
category-grid-view-gallery,45,51,118,Strategic Targets
clickdesk-live-support-chat,45,56,133,Strategic Targets
e-search,45,51,115,Strategic Targets
formidable,45,53,156,Strategic Targets
indexisto,45,45,106,Strategic Targets
kingcomposer,45,53,68,Strategic Targets
ultimate-member,45,58,192,Strategic Targets
woocommerce-abandoned-cart,45,57,204,Strategic Targets
wp-central,45,54,67,Strategic Targets
wp-video-lightbox,45,51,68,Strategic Targets
wpschoolpress,45,52,67,Strategic Targets
download-monitor,44,53,125,Strategic Targets
essential-blocks,44,55,181,Strategic Targets
