source_asn,source_org,unique_ips,total_records,days_active,unique_plugins,unique_ja4h
AS13335,"Cloudflare, Inc.",125,258,49,180,42
AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,123,328,77,5,1
AS63949,Akamai Connected Cloud,116,8612,92,3,7
AS211680,"NSEC - Sistemas Informaticos, S.A.",84,2779,34,61,1
AS206092,Internet Utilities Europe and Asia Limited,34,153,3,68,3
AS21859,Zenlayer Inc,34,1285,22,65,3
AS14061,"DigitalOcean, LLC",32,2036,73,213,18
AS6142,Oracle Corporation,30,358,27,7,8
AS137409,GSL Networks Pty LTD,28,125,3,64,4
AS16509,"Amazon.com, Inc.",25,1785,11,168,15
AS9808,"China Mobile Communications Group Co., Ltd.",22,77,1,76,2
AS16276,OVH SAS,20,1753,91,333,10
AS396982,Google LLC,17,399,9,358,5
AS23724,"IDC, China Telecommunications Corporation",16,38,14,8,3
AS8075,Microsoft Corporation,16,50,7,10,11
AS9009,M247 Europe SRL,12,2717,20,335,12
AS31898,Oracle Corporation,10,102,11,14,4
AS211590,Bucklog SARL,9,92,7,5,1
AS212238,Datacamp Limited,8,311,8,130,5
AS262287,Latitude.sh LTDA,8,31,3,28,3
AS14618,"Amazon.com, Inc.",7,227,8,104,3
AS4812,China Telecom (Group),7,7,3,3,1
AS62240,Clouvider,7,28,3,22,2
AS150654,Kennies Star India Private Limited,6,168,5,24,4
AS139825,HM Enterprise,5,85,1,24,1
AS47583,Hostinger International Limited,5,145,18,84,4
AS4837,CHINA UNICOM China169 Backbone,5,8,6,3,2
AS13213,UK-2 Limited,4,247,8,31,5
AS137385,Saddam Hossain t/a Asian Network,4,162,1,81,2
AS17621,China Unicom Shanghai network,4,5,4,3,1
AS27176,DataWagon LLC,4,102,14,23,2
AS29124,Iskratelecom JSC,4,4,2,1,1
AS396356,Latitude.sh,4,22,2,20,3
AS4808,China Unicom Beijing Province Network,4,389,3,275,5
AS8560,IONOS SE,4,141,3,109,4
AS11878,"tzulo, inc.",3,259,7,254,3
AS137687,"Luoyang, Henan Province, P.R.China.",3,3,2,2,1
AS141995,Contabo Asia Private Limited,3,15,4,14,3
AS152194,CTG Server Limited,3,1900,5,38,2
AS214503,QuxLabs AB,3,71,2,70,2
AS27385,"QUALYS, Inc.",3,24,3,7,3
AS36352,HostPapa,3,155,23,111,2
AS36903,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,3,99,3,63,2
AS43444,Fast Servers (Pty) Ltd,3,3,2,3,1
AS53667,FranTech Solutions,3,9,5,3,2
AS55836,Reliance Jio Infocomm Limited,3,156,3,56,2
AS60729,Stiftung Erneuerbare Freiheit,3,3,2,3,2
AS132203,"Tencent Building, Kejizhongyi Avenue",2,24,2,23,3
AS138754,Kerala Vision Broad Band Private Limited,2,9,2,5,1
