plugin,days_observed,pct_days_coverage,total_records,unique_ips
post-smtp,92,100,9865,190
loginizer,77,83.7,319,136
wp-stats-manager,76,82.6,234,134
elementor,75,81.5,241,107
litespeed-cache,74,80.4,314,135
duplicator,71,77.2,217,115
seo-by-rank-math,71,77.2,344,135
better-search-replace,68,73.9,225,111
wp-fastest-cache,68,73.9,248,99
wp-statistics,67,72.8,320,97
wordfence,65,70.7,151,78
wps-hide-login,65,70.7,183,87
cryptocurrency-widgets-pack,64,69.6,220,69
wordpress-database-reset,64,69.6,156,98
wp-file-manager,64,69.6,138,83
essential-addons-for-elementor-lite,63,68.5,145,79
all-in-one-wp-migration,62,67.4,171,95
woocommerce,62,67.4,124,82
2-click-socialmedia-buttons,61,66.3,234,101
really-simple-ssl,61,66.3,121,74
w3-total-cache,61,66.3,130,88
wordpress-seo,61,66.3,123,82
contact-form-7,60,65.2,97,66
optinmonster,60,65.2,114,73
redux-framework,60,65.2,112,71
updraftplus,60,65.2,116,73
wp-optimize,60,65.2,113,67
iwp-client,59,64.1,112,72
jetpack,59,64.1,113,66
ultimate-addons-for-gutenberg,59,64.1,111,69
wp-super-cache,59,64.1,114,70
wpforms-lite,59,64.1,111,69
akismet,58,63,103,76
all-in-one-wp-security-and-firewall,58,63,96,71
limit-login-attempts-reloaded,58,63,109,71
redirection,58,63,110,67
svg-support,58,63,110,65
google-site-kit,57,62,93,68
hostinger,57,62,107,68
import-xml-feed,57,62,224,80
insert-headers-and-footers,57,62,109,70
sg-security,57,62,110,70
smart-slider-3,57,62,110,65
wp-user-avatar,57,62,109,66
advanced-custom-fields,56,60.9,93,73
all-in-one-seo-pack,56,60.9,92,65
autoptimize,56,60.9,94,71
coming-soon,56,60.9,92,67
disable-comments,56,60.9,93,69
duplicate-page,56,60.9,92,67
envato-elements,56,60.9,93,67
ewww-image-optimizer,56,60.9,93,64
header-footer-elementor,56,60.9,104,66
mailchimp-for-wp,56,60.9,109,66
astra-sites,55,59.8,93,65
code-snippets,55,59.8,93,65
complianz-gdpr,55,59.8,92,70
duplicate-post,55,59.8,90,67
google-analytics-for-wordpress,55,59.8,90,65
advanced-text-widget,54,58.7,298,65
better-wp-security,54,58.7,91,65
jeg-elementor-kit,54,58.7,216,57
cleantalk-spam-protect,53,57.6,212,73
infusionsoft,52,56.5,131,60
pie-register,52,56.5,227,80
adminimize,51,55.4,160,65
media-library-assistant,50,54.3,204,67
total-donations,50,54.3,214,70
wc-multivendor-marketplace,50,54.3,191,68
wp-time-capsule,50,54.3,85,63
flash-album-gallery,48,52.2,135,56
masterstudy-lms-learning-management-system,48,52.2,75,62
skysa-official,48,52.2,132,57
backup-backup,47,51.1,178,57
fancy-product-designer,47,51.1,68,53
my-calendar,47,51.1,190,69
sniplets,47,51.1,132,56
uploader,47,51.1,125,56
easy-digital-downloads,46,50,198,64
visualizer,46,50,182,60
wp-facethumb,46,50,124,54
bbpress,45,48.9,66,51
category-grid-view-gallery,45,48.9,118,51
clickdesk-live-support-chat,45,48.9,133,56
e-search,45,48.9,115,51
formidable,45,48.9,156,53
indexisto,45,48.9,106,45
kingcomposer,45,48.9,68,53
