plugin,unique_ips,days_observed,total_records,ips_per_day
post-smtp,190,92,9865,2.07
loginizer,136,77,319,1.77
litespeed-cache,135,74,314,1.82
seo-by-rank-math,135,71,344,1.9
wp-stats-manager,134,76,234,1.76
duplicator,115,71,217,1.62
better-search-replace,111,68,225,1.63
elementor,107,75,241,1.43
2-click-socialmedia-buttons,101,61,234,1.66
wp-fastest-cache,99,68,248,1.46
wordpress-database-reset,98,64,156,1.53
wp-statistics,97,67,320,1.45
all-in-one-wp-migration,95,62,171,1.53
w3-total-cache,88,61,130,1.44
wps-hide-login,87,65,183,1.34
wp-file-manager,83,64,138,1.3
woocommerce,82,62,124,1.32
wordpress-seo,82,61,123,1.34
import-xml-feed,80,57,224,1.4
pie-register,80,52,227,1.54
essential-addons-for-elementor-lite,79,63,145,1.25
wordfence,78,65,151,1.2
akismet,76,58,103,1.31
really-simple-ssl,74,61,121,1.21
advanced-custom-fields,73,56,93,1.3
cleantalk-spam-protect,73,53,212,1.38
optinmonster,73,60,114,1.22
updraftplus,73,60,116,1.22
iwp-client,72,59,112,1.22
all-in-one-wp-security-and-firewall,71,58,96,1.22
autoptimize,71,56,94,1.27
limit-login-attempts-reloaded,71,58,109,1.22
redux-framework,71,60,112,1.18
complianz-gdpr,70,55,92,1.27
insert-headers-and-footers,70,57,109,1.23
sg-security,70,57,110,1.23
total-donations,70,50,214,1.4
wp-super-cache,70,59,114,1.19
cryptocurrency-widgets-pack,69,64,220,1.08
disable-comments,69,56,93,1.23
my-calendar,69,47,190,1.47
ultimate-addons-for-gutenberg,69,59,111,1.17
wpforms-lite,69,59,111,1.17
google-site-kit,68,57,93,1.19
hostinger,68,57,107,1.19
wc-multivendor-marketplace,68,50,191,1.36
coming-soon,67,56,92,1.2
duplicate-page,67,56,92,1.2
duplicate-post,67,55,90,1.22
envato-elements,67,56,93,1.2
media-library-assistant,67,50,204,1.34
redirection,67,58,110,1.16
wp-optimize,67,60,113,1.12
contact-form-7,66,60,97,1.1
header-footer-elementor,66,56,104,1.18
jetpack,66,59,113,1.12
mailchimp-for-wp,66,56,109,1.18
wp-user-avatar,66,57,109,1.16
adminimize,65,51,160,1.27
advanced-text-widget,65,54,298,1.2
all-in-one-seo-pack,65,56,92,1.16
astra-sites,65,55,93,1.18
better-wp-security,65,54,91,1.2
code-snippets,65,55,93,1.18
google-analytics-for-wordpress,65,55,90,1.18
smart-slider-3,65,57,110,1.14
svg-support,65,58,110,1.12
easy-digital-downloads,64,46,198,1.39
ewww-image-optimizer,64,56,93,1.14
wp-time-capsule,63,50,85,1.26
masterstudy-lms-learning-management-system,62,48,75,1.29
infusionsoft,60,52,131,1.15
visualizer,60,46,182,1.3
ultimate-member,58,45,192,1.29
backup-backup,57,47,178,1.21
jeg-elementor-kit,57,54,216,1.06
skysa-official,57,48,132,1.19
woocommerce-abandoned-cart,57,45,204,1.27
clickdesk-live-support-chat,56,45,133,1.24
flash-album-gallery,56,48,135,1.17
sniplets,56,47,132,1.19
uploader,56,47,125,1.19
essential-blocks,55,44,181,1.25
wp-integrator,55,42,120,1.31
all-in-one-event-calendar,54,43,126,1.26
drag-and-drop-multiple-file-upload-for-woocommerce,54,34,101,1.59
fluentform,54,39,177,1.38
wp-central,54,45,67,1.2
wp-facethumb,54,46,124,1.17
canto,53,41,114,1.29
download-monitor,53,44,125,1.2
fancy-product-designer,53,47,68,1.13
formidable,53,45,156,1.18
kingcomposer,53,45,68,1.18
mf-gig-calendar,52,40,121,1.3
wpschoolpress,52,45,67,1.16
bbpress,51,45,66,1.13
category-grid-view-gallery,51,45,118,1.13
dm-albums,51,33,109,1.55
e-search,51,45,115,1.13
featurific-for-wordpress,51,43,128,1.19
trafficanalyzer,51,38,115,1.34
wp-video-lightbox,51,45,68,1.13
mstore-api,50,44,160,1.14
hdw-tube,49,40,113,1.23
movies,49,39,103,1.26
ultimate-weather-plugin,49,37,102,1.32
gift-voucher,48,41,157,1.17
hypercomments,48,39,158,1.23
church-admin,47,43,105,1.09
sourceafrica,47,41,105,1.15
wp-meta-seo,47,40,110,1.18
activehelper-livehelp,46,43,105,1.07
aviary-image-editor-add-on-for-gravity-forms,46,33,88,1.39
form-maker,46,40,140,1.15
hero-maps-pro,46,39,103,1.18
stacks-mobile-app-builder,46,38,151,1.21
wp-mobile-detector,46,33,89,1.39
indexisto,45,45,106,1
social-warfare,45,37,98,1.22
download-manager,44,32,99,1.38
photoxhibit,44,41,101,1.07
wp-mailster,44,38,100,1.16
yuzo-related-post,44,33,102,1.33
event-espresso-core-reg,43,35,96,1.23
parsi-font,43,41,103,1.05
stop-spammer-registrations-plugin,43,38,99,1.13
ajax-random-post,42,42,104,1
amty-thumb-recent-post,42,38,99,1.11
jsmol2wp,42,37,98,1.14
navis-documentcloud,42,40,102,1.05
nd-booking,42,35,92,1.2
the-plus-addons-for-elementor-page-builder,42,39,139,1.08
tidio-form,42,39,98,1.08
wp-simple-firewall,42,38,50,1.11
wp-symposium,42,39,99,1.08
admin-font-editor,41,37,96,1.11
anti-plagiarism,41,36,97,1.14
crm-perks-forms,41,40,113,1.02
daggerhart-openid-connect-generic,41,39,98,1.05
forget-about-shortcode-buttons,41,38,97,1.08
raygun4wp,41,37,97,1.11
tidio-gallery,41,37,95,1.11
defa-online-image-protector,40,37,95,1.08
drag-and-drop-multiple-file-upload-contact-form-7,40,34,147,1.18
enhanced-tooltipglossary,40,38,98,1.05
giveasap,40,41,101,0.98
new-year-firework,40,39,98,1.03
s3-video,40,34,96,1.18
ultimate-faqs,40,35,94,1.14
wpsolr-search-engine,40,37,95,1.08
embed-swagger,39,34,96,1.15
whizz,39,35,92,1.11
simpel-reserveren,38,36,95,1.06
site-offline,38,39,98,0.97
feed-them-social,37,36,95,1.03
page-layout-builder,37,37,95,1
simple-membership,35,35,92,1
smart-manager-for-wp-e-commerce,35,33,68,1.06
uix-shortcodes,35,31,134,1.13
insert-php,34,35,150,0.97
siteguard,34,31,111,1.1
checklist,32,28,80,1.14
jh-404-logger,32,29,72,1.1
nextgen-gallery,30,31,90,0.97
wpcf7-redirect,30,28,60,1.07
woocommerce-payments,29,29,80,1
forminator,28,26,42,1.08
popup-maker,28,27,57,1.04
