ip_address,sessions,threat_type,tags,asn,country,confidence,notes
5.29.8.175,492,Cisco SMA Scanner,Web Crawler;Feroxbuster;Cisco quarantine Scanner;ENV Crawler,AS12849,Israel,HIGH,Directory fuzzing targeting /quarantine paths
34.207.235.82,6,Cisco SMA Scanner,Cisco quarantine Scanner;Web Crawler,AS14618,United States,HIGH,AWS infrastructure
3.98.165.244,3,Cisco SMA Scanner,Cisco quarantine Scanner;Feroxbuster;Web Crawler,AS16509,Canada,HIGH,AWS infrastructure
35.182.226.158,3,Cisco SMA Scanner,Feroxbuster;Cisco quarantine Scanner;Web Crawler,AS16509,Canada,HIGH,AWS infrastructure
16.171.231.243,3,Cisco SMA Scanner,Feroxbuster;Cisco quarantine Scanner;Web Crawler,AS16509,Sweden,HIGH,AWS infrastructure
15.152.76.209,3,Cisco SMA Scanner,Cisco quarantine Scanner;Web Crawler;Feroxbuster,AS16509,Japan,HIGH,AWS infrastructure
13.215.207.188,2,Cisco SMA Scanner,Cisco quarantine Scanner;Feroxbuster;Web Crawler,AS16509,Singapore,HIGH,AWS infrastructure
3.35.194.200,2,Cisco SMA Scanner,Cisco quarantine Scanner;Web Crawler;Generic Sensitive File Access Attempt;Git Config Crawler;Well-Known Scanner;Feroxbuster,AS16509,South Korea,HIGH,AWS infrastructure
52.13.50.215,2,Cisco SMA Scanner,Web Crawler;Cisco quarantine Scanner;Feroxbuster,AS16509,United States,HIGH,AWS infrastructure
3.95.177.255,2,Cisco SMA Scanner,Well-Known Scanner;Generic Sensitive File Access Attempt;Feroxbuster;Web Crawler;Cisco quarantine Scanner;MCP and SSE endpoint scanning,AS14618,United States,HIGH,AWS infrastructure
3.26.145.135,2,Cisco SMA Scanner,Cisco quarantine Scanner;Feroxbuster;Web Crawler,AS16509,Australia,HIGH,AWS infrastructure
52.221.218.139,2,Cisco SMA Scanner,Web Crawler;Cisco quarantine Scanner;Feroxbuster,AS16509,Singapore,HIGH,AWS infrastructure
16.171.62.249,2,Cisco SMA Scanner,Web Crawler;Feroxbuster;CGI Script Scanner;Cisco quarantine Scanner,AS16509,Sweden,HIGH,AWS infrastructure
51.20.5.213,2,Cisco SMA Scanner,Web Crawler;Cisco quarantine Scanner;Feroxbuster,AS16509,Sweden,HIGH,AWS infrastructure
54.183.237.254,2,Cisco SMA Scanner,Cisco quarantine Scanner;Well-Known Scanner;Generic Sensitive File Access Attempt;Web Crawler;Feroxbuster,AS16509,United States,HIGH,AWS infrastructure
13.208.34.157,2,Cisco SMA Scanner,Nmap;Cisco quarantine Scanner;Feroxbuster;Web Crawler;Well-Known Scanner,AS16509,Japan,HIGH,AWS infrastructure
3.38.45.229,2,Cisco SMA Scanner,Cisco quarantine Scanner;Web Crawler;Feroxbuster,AS16509,South Korea,HIGH,AWS infrastructure
3.36.52.123,2,Cisco SMA Scanner,Feroxbuster;CGI Script Scanner;Web Crawler;Cisco quarantine Scanner;Well-Known Scanner;security.txt Scanner,AS16509,South Korea,HIGH,AWS infrastructure
3.112.175.107,2,Cisco SMA Scanner,Feroxbuster;Web Crawler;Cisco quarantine Scanner,AS16509,Japan,HIGH,AWS infrastructure
13.124.1.18,2,Cisco SMA Scanner,Cisco quarantine Scanner;Feroxbuster;Web Crawler,AS16509,South Korea,HIGH,AWS infrastructure
54.179.2.141,2,Cisco SMA Scanner,Feroxbuster;Web Crawler;Cisco quarantine Scanner,AS16509,Singapore,HIGH,AWS infrastructure
3.22.222.42,2,Cisco SMA Scanner,Feroxbuster;Cisco quarantine Scanner;Web Crawler,AS16509,United States,HIGH,AWS infrastructure
13.49.137.39,2,Cisco SMA Scanner,Web Crawler;Feroxbuster;Cisco quarantine Scanner,AS16509,Sweden,HIGH,AWS infrastructure
