ip,sessions
85.11.167.7,4130479
85.11.167.11,3060173
62.164.177.41,1772619
45.198.224.18,1625202
160.119.76.51,1596927
192.253.248.169,1196788
87.251.64.146,1186738
34.32.96.0,1141010
45.205.1.5,1119345
45.142.193.212,1078921
187.191.2.214,972187
46.151.178.13,842279
185.91.127.85,765574
80.94.95.240,722115
160.119.76.60,697318
80.251.153.178,634009
209.205.219.218,624661
213.209.159.154,617137
3.89.69.160,540395
79.124.49.90,532914
34.142.14.178,523276
209.126.1.71,503969
185.156.73.233,487939
80.94.95.46,476655
45.95.144.150,429944
79.124.40.174,422662
18.221.195.141,393501
204.76.203.18,389635
208.115.200.90,382269
5.61.209.33,371560
190.123.65.197,349373
34.97.48.192,349293
176.65.132.17,348174
45.156.87.204,341889
45.153.34.112,341262
176.65.132.24,329488
34.87.244.227,329093
13.58.198.185,327865
193.46.255.140,325292
45.156.87.254,323798
93.123.72.166,318786
94.102.49.82,317237
37.120.214.30,316289
34.18.165.201,311263
176.65.132.129,306181
34.35.70.0,301697
46.101.172.221,301494
45.153.34.71,300646
45.156.87.253,296597
45.198.224.5,295446
45.154.244.2,294474
160.119.76.59,293609
34.176.100.98,278894
136.232.203.90,274826
176.65.139.11,274642
89.190.156.62,272607
83.233.48.254,271847
45.153.34.235,271721
93.152.208.42,268434
212.102.40.218,268337
93.152.208.38,264820
93.152.208.26,264788
45.158.126.94,262048
160.119.76.55,259676
68.168.211.82,259384
34.151.137.170,258658
45.95.144.154,257593
192.109.200.78,257366
152.32.189.121,257151
152.32.170.55,257097
34.116.94.57,255711
176.123.4.65,254184
128.1.132.220,254006
152.32.189.128,253978
152.32.172.108,253403
92.63.197.197,251379
5.181.86.60,248748
80.94.95.226,245801
193.143.1.66,244046
192.253.248.180,232767
45.156.87.147,231183
35.247.192.84,229584
35.220.165.232,229537
80.94.95.116,226381
80.94.95.115,225985
45.148.10.121,225930
45.153.34.186,225517
45.156.87.34,225504
45.153.34.114,222390
45.153.34.181,222124
77.91.118.18,220604
77.91.118.50,219006
45.156.87.216,215264
176.65.132.119,210311
45.148.10.200,204350
192.109.200.220,201440
3.21.92.229,198975
102.88.21.136,191180
80.94.95.207,188980
45.82.78.108,185231
