# Top 100 source IPs by connection volume, 01-10 August 2026. This is a volume ranking, not a curated indicator list. The classification column is GreyNoise's own; rows marked unknown carry no GreyNoise classification and are not asserted as indicators. Triage on classification and on the findings named in the brief, not on rank. Rows carrying a value in gn_service are attributed by GreyNoise to a named commercial service; verify ownership before blocking, including where the classification column reads malicious.
# The gn_service column names a benign commercial service that operates the address, resolved live from GreyNoise Business Service Intelligence at generation time. A NON-EMPTY gn_service means the address belongs to a named service such as a vulnerability scanner or search engine: do NOT block it, and do not file an abuse report against it. An empty gn_service is not a judgment either way.
ip,sessions,classification,gn_service
176.120.22.179,7043901,malicious,
62.164.177.54,2829478,malicious,
213.209.159.175,2519766,malicious,
103.149.197.34,2401949,malicious,
18.218.118.203,1408661,malicious,
3.129.187.38,1379569,malicious,
18.116.101.220,1367508,malicious,
3.130.168.2,1078532,malicious,
85.11.167.7,1076987,malicious,
54.237.234.26,1011802,malicious,
193.142.146.219,993029,malicious,
45.198.224.15,897651,malicious,
212.102.40.218,803908,suspicious,CDN77
3.131.220.121,724803,malicious,
213.209.159.154,675484,malicious,
45.198.224.18,642453,malicious,
193.34.212.136,602774,malicious,
192.253.248.251,553871,malicious,
204.76.203.18,553101,suspicious,
34.19.127.176,549766,malicious,
163.7.12.173,548431,malicious,
43.134.23.47,537663,unknown,
223.204.55.171,504480,suspicious,
160.119.71.90,502598,malicious,
195.178.110.137,484321,malicious,
80.94.95.211,469181,malicious,
34.19.127.218,455627,malicious,
130.12.180.77,445247,malicious,
85.14.245.122,445078,malicious,
136.232.36.22,433782,suspicious,
80.251.153.178,412069,malicious,
185.177.72.30,403920,malicious,
16.58.56.214,381015,malicious,
185.177.72.5,377759,malicious,
34.19.127.184,376010,malicious,
185.177.72.100,372931,malicious,
69.6.249.0,353805,malicious,
172.81.62.90,349062,malicious,
185.177.72.56,348614,malicious,
185.177.72.12,337175,malicious,
80.94.95.226,334193,malicious,
49.207.177.39,333366,suspicious,
185.177.72.9,331650,malicious,
185.156.73.157,328128,malicious,
45.148.10.125,327169,malicious,
45.153.34.235,324664,malicious,
121.121.187.57,324249,suspicious,
86.98.214.65,322539,suspicious,
185.177.72.70,319913,malicious,
185.177.72.17,318365,malicious,
45.156.87.254,318139,malicious,
14.225.19.59,312216,malicious,
139.87.112.207,305729,unknown,Qualys
195.182.16.23,305624,malicious,
77.90.185.20,302168,malicious,
194.180.49.37,301247,malicious,
45.82.78.107,299558,malicious,
185.177.72.22,298494,malicious,
45.153.34.161,295480,malicious,
45.153.34.71,292293,malicious,
139.87.112.73,291772,unknown,Qualys
45.82.78.103,290703,malicious,
45.82.78.100,288500,malicious,
45.148.10.204,287073,malicious,
138.197.147.76,285558,malicious,
104.219.251.104,283896,malicious,
45.153.34.165,283612,malicious,
45.82.78.102,282862,malicious,
45.82.78.104,281788,malicious,
45.153.34.167,281454,malicious,
45.82.78.106,280078,malicious,
79.124.56.242,277736,unknown,
160.119.71.92,276997,malicious,
139.59.236.63,275953,malicious,
189.186.16.166,275664,suspicious,
185.177.72.66,275343,malicious,
45.82.78.108,274927,malicious,
45.82.78.105,274616,malicious,
45.156.87.204,272956,malicious,
139.87.112.72,270685,malicious,Qualys
150.107.36.82,268264,malicious,
34.19.116.51,256371,malicious,
45.148.10.238,254130,malicious,
185.177.72.68,253483,malicious,
45.148.10.152,252180,malicious,
45.148.10.151,251918,malicious,
185.177.72.13,251409,malicious,
185.177.72.23,250580,malicious,
45.148.10.147,249399,malicious,
34.19.116.62,249368,malicious,
152.32.189.121,247371,malicious,
34.81.28.243,247173,malicious,
152.32.170.55,246193,malicious,
152.32.189.128,245915,malicious,
152.32.172.108,245391,malicious,
185.177.72.53,245207,malicious,
45.198.224.26,244846,malicious,
45.156.87.253,244525,malicious,
185.177.72.54,244109,malicious,
45.148.10.141,243872,malicious,
