# Top source IPs by connection volume for the window 2026-08-10 to 2026-08-17. This is a volume ranking, not a curated indicator list. Triage on the classification column and on the findings named in the brief, not on rank. The classification column is GreyNoise's own: 80 malicious, 7 suspicious, 13 unknown. Rows marked unknown carry no GreyNoise classification and are not asserted as indicators.
# A gn_service_category of hosting names who sells the address space: that is ownership, not benignity, and it is not a reason to skip a row. gn_service_trust is the GreyNoise Business Service Intelligence trust level: 1 marks a named benign service, 2 or 3 marks a weaker or ownership-only record, and a 3 is not a benignity signal.
# The gn_service column names a benign commercial service that operates the address, resolved live from GreyNoise Business Service Intelligence at generation time. A NON-EMPTY gn_service means the address belongs to a named service such as a vulnerability scanner or search engine: do NOT block it, and do not file an abuse report against it. An empty gn_service is not a judgment either way.
ip,sessions,classification,gn_service_category,gn_service_trust,gn_service
85.11.167.7,3151029,malicious,,,
62.164.177.54,2519647,malicious,,,
45.141.233.145,2176192,malicious,,,
45.141.233.146,2156350,unknown,,,
45.141.233.147,2151209,unknown,,,
45.141.233.151,2113694,unknown,,,
45.141.233.150,2100202,unknown,,,
45.141.233.149,2083869,unknown,,,
45.141.233.152,1785116,unknown,,,
80.251.153.178,1715410,malicious,,,
213.209.159.175,1600580,malicious,,,
45.141.233.148,1423738,unknown,,,
192.253.248.251,1409599,malicious,,,
18.218.118.203,1348371,malicious,hosting,3,
3.129.187.38,1318242,malicious,hosting,3,
18.116.101.220,1238102,malicious,hosting,3,
45.141.233.154,1199739,unknown,,,
3.130.168.2,1162035,malicious,hosting,3,
45.141.233.153,1156585,unknown,,,
3.131.220.121,1028409,malicious,hosting,3,
190.148.107.110,892480,suspicious,,,
213.209.159.136,688465,unknown,,,
212.102.40.218,681638,suspicious,cdn,2,CDN77
85.14.245.122,657146,malicious,,,
213.209.159.154,630398,malicious,,,
34.68.34.66,606957,malicious,hosting,3,
45.148.10.125,576044,malicious,,,
80.94.95.211,574272,malicious,,,
8.34.210.34,558917,malicious,hosting,3,
34.19.127.183,526917,malicious,hosting,3,
147.45.112.144,525738,malicious,,,
34.68.34.80,517698,malicious,hosting,3,
204.76.203.18,510716,suspicious,,,
5.61.209.44,475834,malicious,,,
150.107.36.82,451129,malicious,,,
45.148.10.238,428997,malicious,,,
194.180.49.37,407525,malicious,,,
152.53.81.25,371542,malicious,,,
195.178.110.28,354236,malicious,,,
130.12.180.77,349076,malicious,,,
223.204.55.171,329329,suspicious,,,
160.119.71.92,319770,malicious,,,
45.153.34.165,305470,malicious,,,
45.156.87.254,301774,malicious,,,
45.198.224.26,301528,malicious,,,
45.153.34.151,299124,malicious,,,
45.153.34.167,288443,malicious,,,
45.153.34.161,280683,malicious,,,
204.76.203.7,271429,malicious,,,
61.95.166.133,259158,suspicious,,,
181.174.229.52,257330,suspicious,,,
34.19.116.59,256991,malicious,hosting,3,
151.243.11.171,256579,malicious,,,
151.243.11.175,256194,malicious,,,
151.243.11.157,255981,malicious,,,
151.243.11.166,255928,malicious,,,
45.194.67.53,255871,malicious,,,
45.194.67.59,255667,malicious,,,
151.243.11.169,255605,malicious,,,
151.243.11.199,255481,malicious,,,
151.243.11.198,255321,malicious,,,
45.194.67.63,255227,malicious,,,
34.68.34.71,255188,malicious,hosting,3,
45.194.67.57,255158,malicious,,,
151.243.11.188,255081,malicious,,,
151.243.11.159,254900,malicious,,,
45.194.67.56,254859,malicious,,,
151.243.11.195,254724,malicious,,,
45.194.67.62,254517,malicious,,,
45.194.67.52,254150,malicious,,,
45.194.67.54,254128,malicious,,,
45.194.67.51,254039,malicious,,,
151.243.11.168,253876,malicious,,,
151.243.11.193,253501,malicious,,,
151.243.11.174,253499,malicious,,,
45.194.67.60,253440,malicious,,,
151.243.11.178,253381,malicious,,,
45.194.67.61,253150,malicious,,,
45.194.67.69,253099,malicious,,,
45.194.67.67,253002,malicious,,,
151.243.11.173,253000,malicious,,,
45.194.67.58,252460,malicious,,,
45.194.67.64,252014,malicious,,,
45.194.67.50,251804,malicious,,,
45.194.67.55,251664,malicious,,,
45.194.67.65,251575,malicious,,,
45.194.67.66,251562,malicious,,,
45.194.67.68,250271,malicious,,,
45.153.34.112,248709,malicious,,,
193.46.255.150,245982,malicious,,,
139.87.112.4,244175,unknown,vulnerability_management,1,Qualys
138.197.147.76,239105,malicious,hosting,3,
139.87.112.85,237164,unknown,vulnerability_management,1,Qualys
195.178.110.137,231742,malicious,,,
139.87.112.96,228784,unknown,vulnerability_management,1,Qualys
45.142.193.164,228099,malicious,,,
181.211.2.42,221790,suspicious,,,
88.214.25.58,220947,malicious,,,
185.177.72.5,220257,malicious,,,
160.119.71.90,219039,malicious,,,
