# Top source IPs by connection volume for the window 2026-08-17 to 2026-08-23. This is a volume ranking, not a curated indicator list. Triage on the classification column and on the findings named in the brief, not on rank. The classification column is GreyNoise's own: 55 malicious, 15 suspicious, 30 unknown. Rows marked unknown carry no GreyNoise classification and are not asserted as indicators.
# The gn_service column names a benign commercial service that operates the address, resolved live from GreyNoise Business Service Intelligence at generation time. A NON-EMPTY gn_service means the address belongs to a named service such as a vulnerability scanner or search engine: do NOT block it, and do not file an abuse report against it. An empty gn_service is not a judgment either way.
ip,sessions,classification,gn_service
110.173.190.221,7135845,malicious,
213.5.130.217,2437369,malicious,
85.11.167.7,1852716,malicious,
62.164.177.54,1204795,malicious,
45.141.233.152,1182387,unknown,
45.141.233.153,1048484,unknown,
45.141.233.154,995516,unknown,
213.209.159.175,907350,malicious,
45.141.233.148,883370,unknown,
45.141.233.151,803995,unknown,
45.141.233.147,797994,unknown,
45.141.233.146,797791,unknown,
45.141.233.150,795999,unknown,
193.142.147.109,791227,malicious,
45.141.233.149,790978,unknown,
45.141.233.145,780743,malicious,
49.248.197.50,780232,malicious,
116.74.164.106,779414,malicious,
18.218.118.203,696625,malicious,
54.236.38.3,690664,malicious,
212.102.40.218,657606,unknown,CDN77
3.129.187.38,638204,unknown,
80.251.153.178,633574,malicious,
3.130.168.2,626153,unknown,
18.116.101.220,622191,unknown,
213.209.159.136,611716,unknown,
213.209.159.154,574667,malicious,
93.123.109.228,561950,malicious,
8.34.210.43,540095,malicious,
185.138.187.180,530336,suspicious,
34.19.127.177,524357,malicious,
88.214.25.58,523163,malicious,
192.253.248.251,485662,suspicious,
204.76.203.18,477161,unknown,
163.7.17.13,472722,malicious,
213.177.179.195,469569,malicious,
128.136.131.84,468751,malicious,
80.94.95.211,464667,malicious,
3.131.220.121,460852,unknown,
34.19.127.212,434136,malicious,
179.1.143.49,415398,suspicious,
61.95.166.133,412036,suspicious,
151.243.11.8,408011,suspicious,
195.178.110.28,403054,malicious,
45.148.10.238,401176,malicious,
45.198.224.26,391515,malicious,
139.87.112.71,357778,malicious,Qualys
89.187.182.3,334916,malicious,CDN77
202.165.25.8,331815,unknown,
2.27.165.137,321553,unknown,
5.61.209.44,310944,suspicious,
194.180.49.37,309008,malicious,
151.243.11.9,306098,suspicious,
139.87.112.135,300903,malicious,Qualys
161.97.97.92,293717,malicious,
85.14.245.122,281207,malicious,
160.119.76.24,280260,unknown,
204.76.203.43,278317,malicious,
152.53.81.25,266165,malicious,
160.119.71.90,256118,malicious,
139.87.112.96,246451,malicious,Qualys
5.61.209.92,241367,suspicious,
122.225.25.242,232821,unknown,
138.197.147.76,231197,malicious,
213.136.90.179,226577,malicious,
213.209.159.148,211449,malicious,
77.90.185.20,204787,malicious,
86.38.98.77,199095,malicious,
69.173.66.73,190806,malicious,
77.239.124.102,184921,unknown,
195.128.248.33,183430,suspicious,
16.5.0.130,179962,unknown,
146.190.164.28,174537,malicious,
82.147.84.244,171594,unknown,
147.45.69.42,156220,unknown,
62.60.130.193,155345,malicious,
187.191.2.214,153516,unknown,
138.199.19.180,153186,suspicious,
154.29.72.122,150669,unknown,
129.213.151.234,150338,malicious,
34.19.116.51,149398,suspicious,
80.94.95.226,147747,malicious,
108.165.179.155,145081,unknown,
173.249.22.208,139534,suspicious,
45.194.67.50,135077,malicious,
86.38.98.17,134698,malicious,
87.120.104.29,133621,malicious,
159.100.19.157,129783,suspicious,
45.194.67.54,126228,malicious,
45.194.67.51,125047,malicious,
193.8.186.29,124962,unknown,
45.194.67.56,124373,malicious,
45.194.67.59,124196,malicious,
45.194.67.64,119939,malicious,
45.205.1.246,118960,suspicious,
122.52.214.77,118395,unknown,
16.5.0.132,117727,suspicious,
45.194.67.61,117584,malicious,
20.151.129.194,117441,unknown,
45.194.67.60,116656,malicious,
