# Source addresses observed sending one of six forged AI crawler user agents on a single HTTP client fingerprint, 28 July to 23 August 2026. The six names belong to Anthropic, OpenAI, Google and Perplexity. This is a complete enumeration of that population, 824 addresses, not a top-N sample or a volume ranking. Not one of them falls inside any address range those four companies publish for their crawlers. Classification as measured 2026-08-27: 806 malicious, 18 unknown, 0 benign; rows that carry no GreyNoise classification are not asserted as indicators. Two classes of row must not be treated as ordinary origins and the tool_fingerprint_observed column marks both: cloud-tenant-address-verify-before-denying marks hyperscaler tenant space, which is reassigned within days, so re-verify against current activity before denying; shared-egress-do-not-block marks an exit shared with unrelated users, and denying it denies them too. The fingerprint column names a software build seen on that address, never an actor and never a coordinated group. GreyNoise observes requests arriving and never outcomes: nothing here says a file was returned or that any organization was affected. TLP:CLEAR.
ip,sessions,tool_fingerprint_observed
136.110.54.83,19766,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.204.220.189,17107,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.66.71.144,15664,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.62.67.70,15158,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.245.56,15086,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.87.67.190,15023,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.177.107.173,14994,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.86.252.105,14942,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.7.131.235,14434,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.85.34,14261,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.247.9.43,12427,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.58.103,12227,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.108.17.20,12205,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
104.199.107.233,12143,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.16.220.62,12026,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.181.245.13,11834,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.186.22.9,11675,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.156.37.203,11606,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.67.35.228,11370,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.87.94.53,11085,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.124.140.144,11060,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.6.179.97,10841,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.233.197.86,10834,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.22.134.1,10776,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.204.188.41,10581,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.252.136.240,10448,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.245.230.215,9983,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.161.49,9889,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.171.201,9817,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.158.115.195,9665,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.126.141.132,9611,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.117.233.41,9186,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.241.188.32,9169,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.14.86.76,8796,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.16.154.252,8746,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
207.175.229.224,8641,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.198.238.76,8599,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.67.69.46,8517,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
8.228.1.53,8515,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.187.103.117,8406,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.85.204.16,8054,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.221.225.75,7617,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.156.249.201,7555,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.243.183.114,7477,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.75.41.19,7290,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.181.134.113,7264,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.139.173.56,7185,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.86.30.230,7173,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.158.52.41,7004,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.91.210.180,6988,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.6.110.181,6902,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.108.73.129,6890,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
8.234.135.108,6781,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.83.182.201,6738,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.186.159.25,6706,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.85.109.0,6675,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.68.129.63,6675,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.16.203.94,6605,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.204.233.227,6600,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.124.188,6493,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.168.135.253,6408,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.54.113,6368,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.108.29.113,6367,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
8.235.53.55,6251,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.182.215.131,6024,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.231.173.48,5996,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.107.50.16,5770,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.204.247.41,5729,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
8.228.0.3,5701,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
