# High-volume source IPs observed in the window 2026-08-23 to 2026-08-30. Session counts come from a sampled aggregation and understate the true totals, so treat this as a high-volume sample rather than a complete or exactly ordered ranking. It is not a curated indicator list. Triage on the classification column and on the findings named in the brief, never on rank. The classification column is GreyNoise's own, resolved live for every row: 83 malicious, 5 suspicious, 12 unknown.
# The gn_service column names a benign commercial service that operates the address, resolved live from GreyNoise Business Service Intelligence at generation time. A NON-EMPTY gn_service means the address belongs to a named service such as a vulnerability scanner or search engine: do NOT block it, and do not file an abuse report against it. An empty gn_service is not a judgment either way.
ip,sessions,classification,gn_service
110.173.190.221,2805818,malicious,
213.5.130.217,2181137,malicious,
213.209.159.175,1803402,malicious,
16.5.0.133,1194839,malicious,
45.141.233.153,1191043,unknown,
151.243.11.8,1081436,malicious,
85.11.167.7,1046012,malicious,
193.142.147.109,1024360,malicious,
45.141.233.154,1004389,unknown,
62.164.177.54,1000445,malicious,
151.243.11.9,903715,malicious,
34.77.142.86,861036,malicious,
212.102.40.218,801982,suspicious,CDN77
18.218.118.203,708414,malicious,
213.209.159.154,704461,malicious,
192.253.248.251,699995,malicious,
69.173.66.77,682567,malicious,
45.141.233.152,638603,unknown,
45.148.10.238,612517,malicious,
18.116.101.220,604091,malicious,
3.129.187.38,600055,malicious,
3.130.168.2,596479,malicious,
80.94.95.211,580044,malicious,
34.19.127.186,563299,malicious,
164.68.105.86,559769,malicious,
213.209.159.136,538561,unknown,
204.76.203.18,535262,suspicious,
45.205.1.246,525617,malicious,
93.123.109.228,524185,malicious,
16.5.0.132,524093,malicious,
45.205.1.241,522654,malicious,
34.19.127.198,516042,malicious,
45.205.1.242,515239,malicious,
45.205.1.245,500872,malicious,
213.177.179.195,480143,malicious,
195.7.5.114,479364,malicious,
45.205.1.247,471268,malicious,
168.144.176.233,462339,malicious,
45.141.233.150,458365,unknown,
45.141.233.149,456005,unknown,
45.141.233.147,452011,unknown,
45.205.1.243,451308,malicious,
45.141.233.151,450740,unknown,
45.141.233.146,448068,unknown,
45.141.233.145,447167,malicious,
151.243.11.13,447165,malicious,
151.243.11.12,446178,malicious,
185.138.187.180,445632,suspicious,
45.205.1.244,445087,malicious,
151.243.11.16,443213,malicious,
151.243.11.17,442895,malicious,
163.7.14.149,429621,malicious,
20.104.50.220,427367,malicious,
20.220.10.235,423381,malicious,
160.119.76.24,406848,malicious,
45.205.1.240,406532,malicious,
204.76.203.43,393777,malicious,
87.120.104.29,386264,malicious,
3.131.220.121,376002,malicious,
194.180.49.37,370830,malicious,
68.155.159.216,368872,malicious,
158.23.147.79,353945,malicious,
20.48.147.90,343371,malicious,
80.251.153.178,326393,malicious,
45.198.224.26,307846,malicious,
195.178.110.28,304012,malicious,
139.87.112.6,303586,unknown,Qualys
139.87.112.135,300903,unknown,Qualys
64.89.162.15,300405,malicious,
34.11.27.148,297367,malicious,
139.87.112.90,285931,unknown,Qualys
103.200.219.112,277828,malicious,
195.24.205.59,277257,malicious,
34.73.75.6,273387,malicious,
4.204.200.136,272832,malicious,
77.90.185.20,271735,malicious,
77.239.124.102,263020,malicious,
93.123.109.37,260765,malicious,
20.151.129.194,256897,malicious,
147.45.69.42,254286,malicious,
20.104.104.62,253486,malicious,
151.243.11.15,249554,suspicious,
151.243.11.14,246528,malicious,
45.194.67.46,242884,malicious,
45.194.67.44,242545,malicious,
116.74.164.106,241295,malicious,
49.248.197.50,240747,malicious,
213.136.90.179,240634,malicious,
45.194.67.43,239429,malicious,
45.194.67.41,237295,malicious,
45.194.67.42,231319,malicious,
54.236.38.3,222468,malicious,
89.22.233.76,220953,malicious,
45.194.67.45,220261,malicious,
139.59.26.82,219940,malicious,
151.243.11.18,219467,malicious,
45.194.67.56,218711,malicious,
45.194.67.67,216681,malicious,
20.104.18.15,216118,suspicious,
45.194.67.65,214668,malicious,
