# 100 high-volume source IPs observed in the window 2026-09-14 to 2026-09-21. The classification column is GreyNoise's own, resolved per address from the GreyNoise IP-context record: 80 malicious, 14 suspicious, 6 unknown. It is not a curated indicator list. Triage on classification and on the findings named in the brief, never on rank.
# The gn_service column names a benign commercial service that operates the address, resolved live from GreyNoise Business Service Intelligence at generation time. A NON-EMPTY gn_service means the address belongs to a named service such as a vulnerability scanner or search engine: do NOT block it, and do not file an abuse report against it. An empty gn_service is not a judgment either way.
ip,sessions,classification,gn_service
115.74.3.14,2080613,suspicious,
85.11.167.7,1437247,malicious,
37.111.53.110,1329175,malicious,
69.5.20.14,1267955,malicious,
92.205.109.198,1219283,unknown,
158.94.211.237,1171457,unknown,
103.60.204.198,1113561,malicious,
217.60.255.130,1080641,malicious,
163.7.15.147,837144,malicious,
212.102.40.218,805467,suspicious,CDN77
103.195.81.146,785017,malicious,
62.164.177.54,719851,malicious,
213.209.159.154,612501,malicious,
192.145.169.66,609611,malicious,
16.5.0.236,608088,malicious,
204.76.203.18,580627,suspicious,
3.129.187.38,497813,malicious,
101.53.149.227,479343,malicious,
103.174.102.29,477789,malicious,
45.148.10.5,477626,malicious,
18.116.101.220,458641,malicious,
101.47.44.7,417483,malicious,
94.154.46.248,417322,malicious,
95.214.53.196,416643,malicious,
94.183.174.95,411107,malicious,
36.255.97.236,410943,malicious,
94.154.46.244,389220,malicious,
213.209.159.136,388293,unknown,
3.131.220.121,376595,malicious,
94.154.46.245,371563,malicious,
94.154.46.246,356050,malicious,
94.154.46.243,355903,malicious,
185.218.86.25,352202,suspicious,
94.154.46.249,349371,malicious,
93.123.109.214,346881,malicious,
94.154.46.247,341081,malicious,
185.136.15.81,333919,suspicious,
77.91.71.91,326909,malicious,
185.136.15.111,324202,suspicious,
154.18.197.29,320958,malicious,
185.136.15.80,318995,suspicious,
45.138.12.51,317510,malicious,
185.136.15.82,312646,malicious,
87.120.104.29,311021,malicious,
77.91.71.92,309623,malicious,
213.209.159.175,307238,malicious,
77.90.185.20,305426,malicious,
194.163.173.212,302630,malicious,
130.12.180.89,301850,malicious,
18.218.118.203,301726,malicious,
185.136.15.110,297935,malicious,
89.42.231.200,293391,malicious,
202.165.25.8,291929,malicious,
77.91.71.24,286231,suspicious,
138.226.239.91,284891,suspicious,
77.91.71.23,284618,suspicious,
138.226.239.90,281487,suspicious,
80.94.95.211,280853,malicious,
130.12.180.101,279724,malicious,
77.91.71.90,279657,malicious,
77.91.71.25,277910,suspicious,
103.82.210.181,276501,malicious,
172.245.197.49,273719,unknown,
201.149.25.124,263997,suspicious,
185.177.72.67,261691,malicious,
193.169.239.152,259488,malicious,
195.178.110.218,255792,malicious,
139.87.112.37,254078,unknown,Qualys
43.251.24.230,249029,suspicious,
34.68.34.72,248405,malicious,
2.57.121.25,247771,malicious,
185.177.72.66,246490,malicious,
139.87.112.69,244774,unknown,Qualys
16.5.0.234,241433,malicious,
193.47.62.69,240056,malicious,
185.177.72.38,239534,malicious,
45.148.10.152,239042,malicious,
45.148.10.151,238970,malicious,
45.148.10.157,238831,malicious,
45.148.10.141,238111,malicious,
3.238.56.206,237379,malicious,
45.141.233.16,236926,malicious,
185.177.72.68,236560,malicious,
2.57.122.238,227361,malicious,
204.76.203.31,227161,malicious,
69.6.249.0,224266,malicious,
80.94.95.43,223433,malicious,
185.177.72.24,223416,malicious,
85.14.245.122,218141,malicious,
185.177.72.56,216954,malicious,
173.249.22.208,213984,malicious,
16.5.0.240,213469,malicious,
41.137.193.194,209548,malicious,
16.5.0.242,208577,malicious,
34.156.22.222,207920,malicious,
16.5.0.239,206003,malicious,
185.177.72.9,205357,malicious,
185.177.72.29,204630,malicious,
16.5.0.241,203559,malicious,
185.177.72.17,203429,malicious,
